ds,y,yhat,yhat_lower,yhat_upper,granularity
2017-05-26,12246.38,16963.54388077826,5014.879531243863,30275.278988346225,day
2017-05-27,15604.2,11100.080492950674,-1976.775019634125,23578.784590737927,day
2017-05-28,11107.24,12310.310867711923,713.9269300046983,25046.327168269967,day
2017-05-29,20699.93,20578.972011224017,7743.46332258559,33442.368450431655,day
2017-05-30,15732.56,20020.687024987397,7441.089696095116,32264.152281210154,day
2017-05-31,21941.91,19177.084525201728,6899.319313581724,30865.039055208126,day
2017-06-01,21775.02,18215.452982619136,5975.775089852215,30266.393781673705,day
2017-06-02,21159.42,17464.776197230916,5160.309028758956,30775.26633234616,day
2017-06-03,12232.84,11601.312818736757,-465.6974826471164,22938.92612173497,day
2017-06-04,15701.85,12811.543202810055,298.0328550588793,24947.385198587832,day
2017-06-05,26331.16,21080.20435563036,9397.613873382854,33389.70353162436,day
2017-06-06,16284.5,20521.91937872688,8593.47804619163,33824.70796455295,day
2017-06-07,15132.48,19678.316888258545,6627.909324394667,32539.824645899327,day
2017-06-08,22592.03,18716.685355001675,6953.203047199975,31253.3164147383,day
2017-06-09,18496.85,17966.008569606784,6515.467849098743,31112.624607249516,day
2017-06-10,9467.0,12102.545191117179,-377.940526590622,25728.37811753609,day
2017-06-11,17376.3,13312.775575187527,84.17533761985169,26233.52180479591,day
2017-06-12,16716.1,21581.436728016182,9095.906864641158,34261.287274605056,day
2017-06-13,16285.23,21023.151751107078,9628.775207825172,32998.92222761991,day
2017-06-14,23315.21,20179.549260639826,7742.011450465189,32736.231284590798,day
2017-06-15,14549.04,19217.917727384214,6007.238976972922,31190.948357055506,day
2017-06-16,14582.92,18467.240941998974,6264.14848481228,30991.105429841646,day
2017-06-17,12474.05,12603.777563497068,-107.5208271583137,25654.32949888658,day
2017-06-18,17768.49,13814.00794756578,1602.2171158235778,26216.69973873641,day
2017-06-19,25658.83,22082.669100401992,9899.343901334561,34132.81709467056,day
2017-06-20,13653.9,21524.38412348963,9484.194186163031,34328.852889627466,day
2017-06-21,7196.18,20681.3935314969,8687.769535235971,33638.56339387551,day
2017-06-22,10243.13,19720.373896707923,6399.656160757942,31977.499707909752,day
2017-06-23,15044.51,18970.30900979534,6485.720507639639,31384.18072926712,day
2017-06-24,9781.5,13107.457529764286,470.6724354849233,25019.699704384388,day
2017-06-25,20105.34,14318.299812323556,1551.5029465312996,26698.466982388403,day
2017-06-26,14810.88,22587.57286362881,9772.840785576136,35244.23633535292,day
2017-06-27,19575.96,22029.899785189693,9154.516019710145,35354.760834740104,day
2017-06-28,16811.26,21186.909193191215,8142.512888517826,33751.37741779048,day
